experiment_ID,experiment_description,botrytis_strain,tissue,culture_media,treatment,plant_material,plant_tissue,time,group_for_averaging,PMID,default
SRR1818390,Bc inf At 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,32,26076231,1
SRR1818391,Bc inf At 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,32,26076231,1
SRR1818392,Bc inf At 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,32,26076231,1
SRR1818396,Bc inf At dWRK33 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,33,26076231,1
SRR1818397,Bc inf At dWRK33 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,33,26076231,1
SRR1818398,Bc inf At dWRK33 14h,2100,mycelium,infection,infection,Arabidopsis,leaves,14h,33,26076231,1
SRR8552903,Bc MEB (CTR linalool treatment 30min 72h),ATCC48342,mycelium,MEB,CTR linalool treatment 30 min,NoPlant,NoPlant,72h,63,31361479,1
SRR8552904,Bc MEB (CTR linalool treatment 30min 72h),ATCC48342,mycelium,MEB,CTR linalool treatment 30 min,NoPlant,NoPlant,72h,63,31361479,1
SRR8552905,Bc MEB (CTR linalool treatment 120min 72h),ATCC48342,mycelium,MEB,CTR linalool treatment 120 min,NoPlant,NoPlant,72h,64,31361479,1
SRR8552906,Bc MEB (CTR linalool treatment 120min 72h),ATCC48342,mycelium,MEB,CTR linalool treatment 120 min,NoPlant,NoPlant,72h,64,31361479,1
SRR8552899,Bc MEB + linalool treatment 30min,ATCC48342,mycelium,MEB,30 min linalool 209.5 mM,linalool (VOC),NoPlant,72h,65,31361479,1
SRR8552900,Bc MEB + linalool treatment 30min,ATCC48342,mycelium,MEB,30 min linalool 209.5 mM,linalool (VOC),NoPlant,72h,65,31361479,1
SRR8552901,Bc MEB + linalool treatment 120min,ATCC48342,mycelium,MEB,120 min linalool 209.5 mM,linalool (VOC),NoPlant,72h,66,31361479,1
SRR8552902,Bc MEB + linalool treatment 120min,ATCC48342,mycelium,MEB,120 min linalool 209.5 mM,linalool (VOC),NoPlant,72h,66,31361479,1
SRR1975193,Bc inf grapes Stage 1,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,34,26450706,1
SRR1975194,Bc inf grapes Stage 1,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,34,26450706,1
SRR1975195,Bc inf grapes Stage 1,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,34,26450706,1
SRR1975196,Bc inf grapes Stage 1,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,34,26450706,1
SRR1975197,Bc inf grapes Stage 2,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,35,26450706,1
SRR1975198,Bc inf grapes Stage 2,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,35,26450706,1
SRR1975200,Bc inf grapes Stage 2,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,35,26450706,1
SRR1975201,Bc inf grapes Stage 3,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,36,26450706,1
SRR1975202,Bc inf grapes Stage 3,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,36,26450706,1
SRR1975203,Bc inf grapes Stage 3,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,36,26450706,1
SRR1975204,Bc inf grapes Stage 3,wild isolate,mycelium,infection,infection (noble rot),V vinifera,berries,not specified,36,26450706,1
SRR8369832,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_ck,not specified,not specified,12h,57,no_PMID,0
SRR8369831,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_ck,not specified,not specified,12h,57,no_PMID,0
SRR8369834,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_ck,not specified,not specified,12h,57,no_PMID,0
SRR8369833,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_Tr,not specified,not specified,12h,58,no_PMID,0
SRR8369836,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_Tr,not specified,not specified,12h,58,no_PMID,0
SRR8369835,Bc (pepper isolate) 12h,SX-9,mycelium,not specified,12h_Tr,not specified,not specified,12h,58,no_PMID,0
SRR8369838,Bc (pepper isolate) 24h,SX-9,mycelium,not specified,24h_ck,not specified,not specified,24h,59,no_PMID,0
